id,Make,Acceleration 0 - 100 km/h,Top Speed,Electric Range,Total Power,Total Torque,BC,Length,Width,Height,Wheelbase,Gross Vehicle Weight (GVWR),Max. Payload,Cargo Volume,Seats,Maintenance Cost,Battery Capacity,Pincode,Date,Time,Month,Location Longitude,Location Latitude
1,Tesla,3.7,218,249.4,251,221,70.7,4645,1896,1408,2962,2754,517,446,5,944.7010666666667,52,742496,2021-09-22,16:19:56,May,56.636326,61.420919
2,Volkswagen,3.3,208,318.3,477,485,71.7,4321,1881,1469,2756,3167,462,485,7,1192.0163000000002,71,771613,2022-01-25,23:27:07,Jan,-143.992514,-56.848054
3,Volkswagen,3.7,231,372.7,467,547,82.1,4293,1881,1426,2977,3094,523,513,7,1750.9066,91,736206,2022-11-06,14:34:32,Dec,105.846071,-72.075474
4,Volkswagen,5.3,255,250.8,455,232,72.7,4208,1893,1500,2962,2922,507,461,7,2557.023,67,970903,2023-01-15,08:34:49,Dec,140.960307,41.445299
5,BMW,4.6,228,439.6,474,578,75.9,4682,1900,1448,2700,2784,529,462,4,1834.7786,97,141415,2024-08-18,23:46:52,Sep,24.098511,46.917547
6,Volkswagen,4.0,214,403.0,205,306,83.7,4215,1814,1400,2738,2726,584,434,5,1158.2525,89,139312,2020-12-26,15:55:59,May,-148.661948,62.162422
7,Polestar,5.9,275,390.1,395,573,75.5,4646,1810,1458,2819,3032,463,530,7,1321.4103333333333,99,682131,2023-08-23,23:27:39,Aug,-123.11727,0.85048
8,Tesla,5.4,265,353.7,394,199,71.2,4426,1877,1487,2946,3169,443,556,7,2234.7778,73,261880,2020-03-03,02:22:00,Apr,26.160606,-27.801717
9,Polestar,3.7,227,381.9,257,128,81.3,4654,1849,1425,2730,2995,536,506,5,997.4502333333334,93,785557,2024-05-23,20:12:38,Nov,-96.518477,14.595999
10,Tesla,7.0,323,331.0,395,303,78.4,4558,1893,1400,2710,2913,577,503,7,1028.9918333333335,85,435024,2020-09-13,06:48:29,Oct,-28.233686,-41.514053
11,Volkswagen,4.8,261,402.2,267,384,80.9,4533,1854,1490,2784,2944,523,498,7,1645.0835000000002,90,530441,2022-03-10,11:01:14,Jan,-70.759898,15.696278
12,Polestar,5.4,266,305.8,353,178,83.9,4715,1895,1500,2834,2767,436,432,4,1819.9876000000002,75,874205,2020-02-20,18:48:02,Nov,-62.475568,83.929432
13,Volkswagen,3.7,213,254.7,464,537,72.4,4738,1897,1462,2724,2973,489,497,7,1452.6186666666665,51,721266,2020-11-09,17:25:43,Sep,162.669443,88.212316
14,Polestar,3.9,215,236.1,317,398,72.5,4249,1809,1452,2981,2779,481,396,4,1023.6082666666667,65,648452,2022-02-18,03:25:07,Feb,-89.619147,23.785864
15,Polestar,7.5,342,366.5,456,586,77.8,4322,1803,1487,2777,2829,582,458,5,2503.3696,96,921687,2023-02-26,03:32:45,Apr,-115.878682,-30.430758
16,Polestar,4.0,229,399.8,337,441,81.1,4684,1825,1490,2971,2710,560,549,5,1593.0123999999998,95,796811,2023-10-10,22:35:23,Sep,-127.832304,39.716141
17,Polestar,3.2,197,232.0,368,536,72.4,4761,1855,1496,2851,2709,440,485,5,1945.4496,57,910787,2024-10-09,20:07:29,Jun,-22.047023,71.943128
18,BMW,3.3,205,349.9,267,338,75.5,4605,1876,1433,2807,2630,397,408,4,757.7452,86,383453,2021-01-20,16:42:55,Jan,-8.965419,19.226559
19,Polestar,3.1,184,389.2,370,500,81.3,4594,1874,1476,2717,2721,486,477,4,1402.7836666666667,84,824819,2021-02-20,23:48:24,Dec,175.329951,-15.438374
20,BMW,7.0,326,324.0,260,163,73.2,4397,1836,1447,2799,2828,436,441,4,864.3953333333334,72,179632,2021-06-12,19:26:07,Mar,152.682882,40.440572
21,BMW,6.0,282,235.3,437,646,70.1,4203,1834,1455,2701,2993,458,448,7,2459.937966666667,67,929350,2024-01-25,14:48:24,Nov,-155.211277,-3.384435
22,Polestar,6.4,287,376.8,205,143,76.7,4644,1840,1456,2830,2709,479,474,5,823.057,76,981942,2023-01-30,20:28:28,Apr,-140.878239,-14.487788
23,Polestar,4.8,239,302.4,330,223,70.2,4624,1860,1467,2775,2797,543,538,4,1237.4650000000001,62,555468,2023-11-02,09:08:48,Nov,145.055301,-49.032651
24,BMW,5.4,268,413.1,451,599,76.4,4722,1830,1455,2811,2989,495,545,7,2488.942666666667,94,351884,2021-12-01,00:35:13,Nov,-153.999182,26.112033
25,BMW,5.8,284,317.7,377,358,70.7,4565,1894,1401,2897,2763,521,443,5,2113.5235666666667,65,160717,2024-09-14,10:17:00,Jan,-101.129696,-52.721275
26,Volkswagen,4.2,229,329.2,408,358,73.5,4651,1874,1500,2940,2681,502,511,4,949.1424000000001,73,521481,2022-03-29,11:21:53,Aug,50.916161,-5.576207
27,Tesla,6.5,294,479.7,316,412,79.1,4231,1829,1489,2995,2802,464,421,5,967.5938666666666,98,487873,2020-04-16,11:17:27,Sep,170.400164,-64.282212
28,Tesla,3.2,214,419.7,427,281,79.8,4454,1886,1435,2892,2805,451,506,4,2264.445366666667,100,933827,2022-01-01,21:37:57,Feb,41.92231,5.641294
29,Polestar,4.0,214,325.9,394,484,76.2,4355,1803,1400,2951,2933,592,451,5,1433.7861333333333,85,877715,2024-08-26,14:15:30,Aug,33.311385,-19.576447
30,BMW,4.3,230,385.7,216,130,76.7,4697,1820,1476,2757,2887,503,498,5,1006.7919999999999,89,805954,2021-04-07,04:17:12,May,33.738532,-1.411647
31,Polestar,3.8,226,455.8,365,487,82.4,4619,1877,1474,2957,2983,570,451,7,1493.8856666666666,99,489069,2024-11-09,08:56:27,Sep,30.540956,-50.89634
32,Volkswagen,4.6,232,341.2,366,453,70.3,4421,1817,1426,2859,3187,614,527,7,1202.7556,71,129070,2020-02-01,20:40:37,Jan,-75.520711,-17.60808
33,Polestar,6.7,319,406.7,320,254,79.0,4630,1839,1489,2897,2962,469,507,7,1750.4053333333334,87,752018,2024-04-16,21:24:51,Nov,42.217938,29.564178
34,Tesla,3.9,219,432.8,477,378,78.8,4443,1853,1446,2794,2636,553,443,4,1407.3347,98,708013,2020-07-29,23:15:30,May,-91.404317,73.240664
35,Polestar,5.5,278,410.0,326,317,84.0,4701,1828,1475,2809,2787,466,426,4,1480.1802666666665,91,900954,2022-01-09,21:34:13,Jan,-162.893191,-40.245311
36,Tesla,6.9,306,390.7,202,160,77.1,4242,1877,1435,2862,2779,525,426,4,1013.9792000000001,91,300625,2020-05-17,23:08:11,Oct,-3.372391,67.010247
37,Tesla,5.7,262,200.9,393,460,74.5,4602,1893,1427,2860,2923,535,412,5,2167.1981,52,869306,2020-05-31,23:57:23,Jan,-179.992826,4.410367
38,Polestar,4.0,211,189.4,258,135,71.0,4567,1834,1408,2912,2873,407,524,5,1308.2128,50,992300,2021-02-13,12:35:16,Jun,-125.436251,-3.543334
39,Polestar,3.4,216,381.6,426,224,76.4,4227,1890,1420,2739,3106,530,561,7,2032.5864,87,439867,2020-04-10,02:18:28,Sep,-59.845007,-89.279568
